time,CZ-A1
0.0,24.549794400453106
0.02,41.059144612404495
0.04,21.810795118247917
0.06,44.510400033283418
0.08,54.045685145849262
0.1,42.906057916195863
0.12,26.884744311555021
0.14,34.379829868421723
0.16,30.898169859850679
0.18,13.981092249482089
0.2,25.288309157420002
0.22,28.836803617880811
0.24,21.876042484068027
0.26,8.1746284581864188
0.28,1.0666373361063404
0.3,10.680645540023576
0.32,14.468919352887173
0.34,13.129983243944961
0.36,3.6732453861185679
0.38,11.539154803202161
0.4,32.855704004170882
0.42,48.701016853673707
0.44,38.890613989798425
0.46,33.572671230854368
0.48,26.398990534411727
0.5,30.020780145625398
0.52,28.402485791867392
0.54,39.44916021148947
0.56,36.182267657117976
0.58,41.223324238915282
0.6,21.832378171685434
0.62,11.329384573512465
0.64,29.022620678994272
0.66,40.490141577199026
0.68,35.818693520952081
0.7,22.417452172045941
0.72,20.87890529521432
0.74,11.626017131915564
0.76,24.795926544585051
0.78,44.871622319058119
0.8,42.252713719177358
0.82,39.606191975091484
0.84,51.187572810770178
0.86,54.191585088222347
0.88,47.784939655618878
0.9,17.13593158674383
0.92,-0.014583718901511736
0.94,2.4884931800173233
0.96,24.444967948125605
0.98,46.448865413802707
1.0,46.811615147371413
1.02,38.766891995494703
1.04,23.193030324554577
1.06,33.565566166961659
1.08,37.771660789453591
1.1,18.740691250144511
1.12,31.274921277846328
1.14,59.908845377473035
1.16,85.218766193882686
1.18,100.86875808987071
1.2,102.65993530366688
1.22,88.066762642769547
1.24,48.664632015907515
1.26,5.5919008844872407
1.28,-42.705723326071563
1.3,-62.949266985046755
1.32,-56.173787435358143
1.34,-57.298445248667818
1.36,-68.258284517359584
1.38,-58.430362397788784
1.4,-8.343628589667432
1.42,14.767757030500869
1.44,8.5061564685683244
1.46,6.9324973040033671
1.48,23.140407819732701
1.5,34.322866184752669
1.52,27.740711383796292
1.54,41.171395279409346
1.56,54.196384894227577
1.58,64.55223875643324
1.6,57.972674366631693
1.62,60.712453176221615
1.64,75.551504135074907
1.66,67.16717617110595
1.68,68.371654273920058
1.7,66.602635031918226
1.72,69.393612475837926
1.74,58.535868715355996
1.76,44.755748892716383
1.78,45.850753278085392
1.8,59.611400515051258
1.82,52.660647621555874
1.84,39.375205440066232
1.86,35.734709802719649
1.88,32.045355341936983
1.9,26.768295286132446
