time,C3-A1
0.0,-0.82493927727797278
0.02,-4.5488578943761837
0.04,-8.5164686074392275
0.06,-12.917526195567424
0.08,-1.0907143167088846
0.1,2.0169924532561359
0.12,-0.94158923677604323
0.14,4.9241681171668983
0.16,2.8895902003466332
0.18,8.4430887167469617
0.2,-1.8416746776675592
0.22,-5.5270874694610699
0.24,-0.34635175305526233
0.26,-13.697748971620607
0.28,-3.0441986007962329
0.3,0.030963163479762731
0.32,0.39796407653064725
0.34,3.0016766487776985
0.36,-2.497285145360884
0.38,-1.3738884977854606
0.4,8.3283162762451823
0.42,12.611292147834142
0.44,6.2767008498286296
0.46,2.4433497109855691
0.48,2.445198723112906
0.5,1.170658572012429
0.52,-2.8119393675809214
0.54,12.658159450327698
0.56,9.1389687673749904
0.58,5.1948481463578595
0.6,5.769779405902943
0.62,10.003297795144357
0.64,6.5127655810639551
0.66,-7.873871141991545
0.68,-8.0829623139715263
0.7,-2.9982397676191153
0.72,-0.6759712419710785
0.74,2.8366760575406604
0.76,4.7578543773728095
0.78,-0.30136951732151973
0.8,0.20234975013695355
0.82,-1.8151462090634713
0.84,5.1566298651986164
0.86,-1.8075532896135584
0.88,-6.5817432436507408
0.9,-2.9568179722804895
0.92,-11.194067689121104
0.94,-17.19227289840909
0.96,-21.000617666354373
0.98,-1.2007893025114793
1.0,-1.3299295881120123
1.02,-3.3648317385726245
1.04,14.08011246579656
1.06,13.027614160042097
1.08,0.863374063433341
1.1,-17.566237951446475
1.12,-16.993806137970417
1.14,-9.8720539501675937
1.16,-0.92964743700235886
1.18,-2.4622774722382821
1.2,9.0166223705530832
1.22,18.520632501592171
1.24,19.811037978884851
1.26,19.10395918397295
1.28,11.746404622064899
1.3,10.147827454372106
1.32,22.495126755137072
1.34,25.564822324039344
1.36,15.051112145716855
1.38,23.867795265874364
1.4,14.545230404933772
1.42,16.207316701452804
1.44,21.311664385590561
1.46,21.899084119813022
1.48,7.2605518841208605
1.5,4.3473349530509582
1.52,5.8311675438758099
1.54,13.957746129520128
1.56,16.380901292065602
1.58,5.0621779265379141
1.6,7.8461632574572624
1.62,9.687688577122568
1.64,15.130201378939375
1.66,6.8795720177305135
1.68,10.303180624866078
1.7,0.34038133765662137
1.72,-5.0442788617310574
1.74,5.3216781889215028
1.76,-3.8163412067219085
1.78,5.7628799738111276
1.8,2.3205983252174573
1.82,-7.5862791070997053
1.84,2.1153897379599158
1.86,-3.808767253873385
1.88,-0.4917644145619775
1.9,14.036087917095426
1.92,7.2649427141629603
1.94,-6.2920584566062585
1.96,18.425017778489316
1.98,20.925773541268295
2.0,-2.8971772340408322
2.02,-10.553176866872489
2.04,-7.6583040762518522
2.06,-18.118724681386009
2.08,4.0994864807652576
2.1,-11.087224309392566
2.12,-8.2567287605202253
2.14,-10.819644735288149
2.16,7.9846904314614005
2.18,-19.257270792454058
2.2,-19.332614708949528
2.22,-9.5641581838369731
2.24,-28.046370809026993
2.26,-33.323841314350815
2.28,-10.501340819050784
2.3,0.23579424289101397
2.32,-11.708586705654152
2.34,-14.655774424732916
2.36,-20.052420173374628
2.38,-25.691596367993053
2.4,-17.915319945146432
2.42,-2.2913159412049304
2.44,-5.2585458158335916
2.46,-9.6108739621007935
2.48,-19.839125659762288
2.5,-9.2590189889553773
2.52,-8.3078877176024086
2.54,-5.711817561277833
2.56,-10.130378928121976
2.58,-0.23951746172777494
2.6,-7.0907559503929285
2.62,-7.0118626413723382
2.64,6.9464954302443402
2.66,-3.4839223990368695
2.68,-10.035693445261803
2.7,-10.273834811793282
2.72,-9.5191872851401342
2.74,-3.7943099593818488
2.76,-6.7336363764274925
2.78,-11.56974604168221
2.8,6.1930894386768962
2.82,-3.0419101054536295
2.84,4.2159224957594033
2.86,0.9808583967549912
2.88,3.5236809753922165
2.9,0.21591895991207988
2.92,-11.8160271794828
2.94,-8.1627051344017776
2.96,-3.4715043445611915
2.98,10.64803261378861
3.0,-6.7064918272737346
3.02,3.1025119113294952
3.04,3.2440057383760261
3.06,5.2094701886251986
3.08,10.482682388782569
